rank,material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable,hull_score,formation_score,stable_score,overall_score
850,mp-1177896,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.8778183481767443,0.5374999999999999,0.0122308937878639,-2.65212325271981,False,0.7553788246794128,0.6100046201191139,0,0.6289599706153669
851,mp-31969,Li3Mn2(PO4)3,"Li,Mn,O,P",3.0523891288687808,1.1628,0.0110669978749884,-2.556454397364533,False,0.7786570569244625,0.5725936691182641,0,0.6286691654998469
852,mp-759919,Li4CrFe3O8,"Cr,Fe,Li,O",4.120030681883914,1.7114000000000005,0.0048524992708323,-2.0562045239583338,False,0.9029487055107033,0.37697281181124415,0,0.6285622721648223
853,mp-778486,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.8859261259506965,0.6505000000000001,0.0122866545454405,-2.6520674919622325,False,0.7542635944851411,0.609982815081709,0,0.6283389622454258
854,mp-768391,Li24Ti7Cr5O36,"Cr,Li,O,Ti",3.43809352848811,1.2749,0.0125175442708229,-2.667086627407407,False,0.7496457376897095,0.6158559922837143,0,0.6278547530286402
855,mp-1222836,Li2Cr2FeSbO8,"Cr,Fe,Li,O,Sb",4.693145527161308,1.891,0.0065539445238078,-2.187217519047619,False,0.8689193414474256,0.42820495754517407,0,0.627777372936895
856,mp-26101,Li3V3(PO4)4,"Li,O,P,V",2.9417789622822297,1.8788,0.0130549080769313,-2.7083412757142846,False,0.7388983166013657,0.6319884694690469,0,0.6275900384449176
857,mp-755795,Li2CrO3,"Cr,Li,O",3.2061416460347933,1.7417,0.0073436145833341,-2.248970232777778,False,0.853125727225342,0.452353127176233,0,0.6275427444856196
858,mp-773082,Li2V3CrO8,"Cr,Li,O,V",3.841086234995913,1.0848,0.0102281985267893,-2.4804857879761903,False,0.7954332701737513,0.5428864262242662,0,0.6274985477740564
859,mp-26139,LiCrP2O7,"Cr,Li,O,P",3.172506800183133,1.3224999999999998,0.0125179745454548,-2.6618262606926395,False,0.749637132080995,0.6137989453933564,0,0.6271300535322221
860,mp-774309,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.881318185694173,0.3633999999999999,0.0124136052272589,-2.6519405412804136,False,0.7517245466009235,0.6099331714885102,0,0.6269251106514865
861,mp-1177932,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.8829367647129263,0.4958,0.0124138963636228,-2.6519402501440505,False,0.7517187237951047,0.6099330576407155,0,0.626921868261558
862,mp-770492,Li24Mn11CrO36,"Cr,Li,Mn,O",3.727960375835168,1.2313,0.0065967657638905,-2.184056704267242,False,0.8680629050937629,0.4269689326504231,0,0.6268737242292177
863,mp-770668,Li24Mn11CrO36,"Cr,Li,Mn,O",3.732013604400239,1.24,0.0066056421527793,-2.184047827878353,False,0.867885374921378,0.4269654615714753,0,0.6267748677567743
864,mp-780329,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.889464151815168,0.4272999999999998,0.012443369772713,-2.6519107767349595,False,0.7511292476621746,0.6099215321734227,0,0.626593622474894
865,mp-1283454,Li2NiO2F,"F,Li,Ni,O",3.9682717629834383,0.0552999999999999,0.0049397238888904,-2.048519626944444,False,0.9012041896187057,0.3739676613412658,0,0.6265509857597312
866,mp-754054,Li2VCrO4,"Cr,Li,O,V",4.02963493368947,0.9269000000000004,0.0098422268749995,-2.441359220833334,False,0.8031528073342272,0.5275861272839579,0,0.6263891885832102
867,mp-757429,Li2Fe2Si4O11,"Fe,Li,O,Si",3.1659128609265523,3.4646,0.0140715241666677,-2.781039900614035,False,0.7185657205511983,0.660416997058864,0,0.6263570952737615
868,mp-773057,Li3Mn2(PO4)3,"Li,Mn,O,P",2.947227713900966,0.9762,0.0112828071249886,-2.556238588114533,False,0.7743408137049779,0.5725092777116012,0,0.6262656947367983
869,mp-1176864,Li7V3P8O29,"Li,O,P,V",2.58139872499963,0.7826,0.0129659060948617,-2.6912196580952386,False,0.7406783802530778,0.6252931244121553,0,0.6262257026834471
870,mp-768547,Li2MnV(PO4)3,"Li,Mn,O,P,V",2.9240948798796027,1.0027999999999997,0.0118541598684238,-2.599220383869804,False,0.762913604700805,0.5893171494997345,0,0.6258634849103498
871,mp-776365,Li9Mn21O40,"Li,Mn,O",4.079837136498593,0.3656999999999999,0.0051667117142786,-2.0611699208078824,False,0.8966643718757848,0.3789145118300057,0,0.6257854836721837
872,mp-754386,Li2CrFeO4,"Cr,Fe,Li,O",4.121742260703389,1.9519,0.0065483162499999,-2.1706289825,False,0.8690319084419391,0.4217180718637875,0,0.6255688747953921
873,mp-26071,LiMnPO4,"Li,Mn,O,P",2.889924513888383,3.5916999999999994,0.0121826865476135,-2.6212460467962693,False,0.7563429824894262,0.5979302032824227,0,0.6252642115180325
874,mp-755675,Li4AlCr3O8,"Al,Cr,Li,O",3.898211303933076,3.1125,0.0115728692187504,-2.569129379583333,False,0.7685394935788586,0.5775501738967863,0,0.6248392823322475
875,mp-766682,Li3V4(PO4)6,"Li,O,P,V",3.0026231514772728,0.7901000000000002,0.0127811196058633,-2.663920950617761,False,0.7443741598834271,0.6146180661182745,0,0.624522111077281
876,mp-768449,Li24Ti7Cr5O36,"Cr,Li,O,Ti",3.439291855796183,1.3152999999999997,0.0128248209374897,-2.6667793507407405,False,0.7435001214614655,0.6157358328830642,0,0.6244326083128785
877,mp-1276026,LiVO2,"Li,O,V",3.9730378621452265,1.6942999999999997,0.0105595606249995,-2.483221481458334,False,0.7888059388170433,0.5439562090123402,0,0.6242279395036929
878,mp-1176940,Li7Mn4(P2O7)4,"Li,Mn,O,P",2.955559271416113,0.2872000000000001,0.0124383805851193,-2.6340164126000065,False,0.7512290327599961,0.6029240074580069,0,0.6241993706283002
879,mp-770669,Li24Mn11CrO36,"Cr,Li,Mn,O",3.7262429866931046,1.2616999999999998,0.0069068300694459,-2.183746639961686,False,0.8618615353357175,0.42684768315392624,0,0.6234205335385189
880,mp-769609,Li4VCr3O8,"Cr,Li,O,V",4.040842596995365,1.5588000000000002,0.0098634496874998,-2.420048200833333,False,0.8027283453588822,0.5192525319666791,0,0.6232389761357229
881,mp-753770,Li2FePCO7,"C,Fe,Li,O,P",2.760025687043413,2.3353,0.0083452678124968,-2.294970380109127,False,0.8330923924232224,0.4703413141515468,0,0.6228202757858138
882,mp-26041,LiFePO4,"Fe,Li,O,P",2.9138391566612647,3.8266,0.0105251792857146,-2.469370835425169,False,0.7894935748778938,0.5385399652603629,0,0.6227104540239686
