material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable
mp-1276026,LiVO2,"Li,O,V",3.9730378621452265,1.6942999999999997,0.01055956062499952,-2.483221481458334,False
mp-1277330,Li2CoO2,"Co,Li,O",3.9151725221221505,2.3336,0.04078594262500079,-1.7237998413333329,False
mp-1280554,Li2MnO2F,"F,Li,Mn,O",3.5651772378867332,1.7682000000000002,0.006955457916669516,-2.487756336182949,False
mp-1281785,LiNiO2,"Li,Ni,O",4.698044880815116,0.0,0.02362273333333409,-1.4743685658333332,False
mp-1281748,LiNiO2,"Li,Ni,O",4.71360517430793,0.0,0.02215752833333351,-1.4758337708333338,False
mp-1283531,LiVO2,"Li,O,V",4.0057341587752076,0.6681999999999997,0.02359179874999917,-2.4701892433333343,False
mp-1283454,Li2NiO2F,"F,Li,Ni,O",3.9682717629834383,0.055299999999999905,0.004939723888890413,-2.048519626944444,False
mp-1284778,LiMnO2,"Li,Mn,O",4.150331496294138,0.0,0.04388122093750013,-2.115988743128593,False
mp-1287495,LiNiO2,"Li,Ni,O",4.764028051461688,0.0,0.0346690627083337,-1.4633222364583336,False
mp-1288099,LiMnO2,"Li,Mn,O",4.172574715738729,0.4942000000000002,0.02089854187500073,-2.1389714221910925,False
mp-1291459,Li2CrO2,"Cr,Li,O",3.0373149114803546,1.7027999999999999,0.03238746249999913,-2.076850024833334,False
mp-1295085,Li2MnO2F,"F,Li,Mn,O",3.489809974407098,2.6207,0.033435776250002824,-2.4612760178496162,False
mp-1299546,LiNiO2,"Li,Ni,O",4.742532810008834,0.0,0.03998704395833386,-1.4580042552083334,False
mp-1303262,LiMnO2,"Li,Mn,O",4.168904363049618,0.0,0.04653142781249997,-2.1133385362535932,False
mp-1305321,Li2MnO2F,"F,Li,Mn,O",3.5511967692648923,1.7081000000000002,0.006985638333336652,-2.4877261557662824,False
mp-1311873,LiMnO2,"Li,Mn,O",4.14300150941904,0.8029999999999999,0.04996539906250064,-2.1099045650035926,False
mp-1404711,LiCoO2,"Co,Li,O",4.677328323803739,1.9959999999999996,0.04559034124999961,-1.7000694295833343,False
mp-4711,Li2CuO2,"Cu,Li,O",3.7712167007457427,0.0,0.014433391249995431,-1.6624233733333333,False
mp-6944,LiTiO2,"Li,O,Ti",4.036423012731052,0.0,0.028121982500000087,-2.951234965416666,False
mp-9158,LiCuO2,"Cu,Li,O",4.607173189052811,0.37780000000000014,0.0,-1.4505814108333328,True
mp-18162,Li(CuO)2,"Cu,Li,O",5.530181819155381,0.0,0.004688839499999986,-1.2321970916666665,False
mp-18767,LiMnO2,"Li,Mn,O",4.232311104466936,0.3500000000000001,0.01528023500000053,-2.1445897290660927,False
mp-18782,LiFeO2,"Fe,Li,O",4.2317054019843345,0.0,0.02022191312499988,-1.924714834583333,False
mp-18793,LiCrO2,"Cr,Li,O",4.306529707465477,3.116940080407897,0.0,-2.408621853333333,True
mp-19279,Li2MnO2,"Li,Mn,O",3.6676452951220653,2.4283515589448887,0.027874728000001348,-2.02211192691954,False
mp-19308,Li2NiO2,"Li,Ni,O",4.209569948249351,0.9116000000000004,0.0025416910000002346,-1.721651177333333,False
mp-19340,LiVO2,"Li,O,V",4.253525959698289,1.7771,0.0,-2.4937810420833335,True
mp-22526,LiCoO2,"Co,Li,O",5.121430782777322,0.6623000000000001,0.0,-1.745659770833334,True
mp-25411,LiNiO2,"Li,Ni,O",4.891956026565844,0.0,0.012589003333333793,-1.4854022958333335,False
mp-25417,LiTiO2,"Li,O,Ti",3.9045927724426828,0.0,0.021963843750000045,-2.957393104166666,False
mp-25587,LiNiO2,"Li,Ni,O",4.304349465220318,0.0,0.03845169833333362,-1.4595396008333337,False
mp-25542,LiMnO2,"Li,Mn,O",3.938303683147776,1.6207000000000003,0.021957220000000888,-2.1379127440660923,False
mp-38280,LiTiO2,"Li,O,Ti",4.1852578597835315,0.0,0.0,-2.979356947916666,True
mp-531604,LiMnO2,"Li,Mn,O",4.006127198566386,1.2916000000000003,0.016325155249999668,-2.1435448088160927,False
mp-549671,KLiMnO2,"K,Li,Mn,O",3.1128611078696142,0.3375999999999997,0.0,-1.8506842532028742,True
mp-553966,Li(CuO)2,"Cu,Li,O",5.537039426791042,0.0,0.004903191499998627,-1.2319827396666674,False
mp-556415,LiMnO2,"Li,Mn,O",4.243667319318944,1.2089000000000003,0.001944805624999546,-2.1579251584410937,False
mp-675370,LiMnO2,"Li,Mn,O",4.022833341680681,0.9784999999999999,0.015345056607142915,-2.144524907458949,False
mp-698647,LiVO2,"Li,O,V",4.010108102896154,0.08089999999999975,0.0357201915625005,-2.458060850520833,False
mp-752850,LiNiO2,"Li,Ni,O",4.876550452129246,0.0,0.010501223958334194,-1.487490075208333,False
mp-753144,LiMn2O2F3,"F,Li,Mn,O",3.7108668715934328,1.2784,0.04600400458333542,-2.5409742792744243,False
mp-753128,Li2VO2F,"F,Li,O,V",3.4541726945286633,1.7955,0.009730130833334627,-2.7075890486111116,False
mp-753201,LiV2H4(OF5)2,"F,H,Li,O,V",2.3142025017706107,1.0103000000000002,0.03229301587719213,-2.4238104746491236,False
mp-753227,LiCrO2,"Cr,Li,O",4.05108338537207,2.9621000000000004,0.03404317312500016,-2.374578680208333,False
mp-753341,LiMn3(OF3)2,"F,Li,Mn,O",3.837035708686103,0.8258999999999999,0.022251508472223236,-2.641776542677203,False
mp-753408,KLiCoO2,"Co,K,Li,O",3.4173162489671873,1.7016,0.009855603562498594,-1.5843800291166672,False
